Unnamed: 0,A,B
100,/home/jovyan/word/png_aa/湲.png,/home/jovyan/word/png_geneto/湲.png
101,/home/jovyan/word/png_aa/鼓.png,/home/jovyan/word/png_geneto/鼓.png
102,/home/jovyan/word/png_aa/輶.png,/home/jovyan/word/png_geneto/輶.png
103,/home/jovyan/word/png_aa/讞.png,/home/jovyan/word/png_geneto/讞.png
104,/home/jovyan/word/png_aa/萢.png,/home/jovyan/word/png_geneto/萢.png
105,/home/jovyan/word/png_aa/簞.png,/home/jovyan/word/png_geneto/簞.png
106,/home/jovyan/word/png_aa/珒.png,/home/jovyan/word/png_geneto/珒.png
107,/home/jovyan/word/png_aa/煊.png,/home/jovyan/word/png_geneto/煊.png
108,/home/jovyan/word/png_aa/瞕.png,/home/jovyan/word/png_geneto/瞕.png
109,/home/jovyan/word/png_aa/㊮.png,/home/jovyan/word/png_geneto/㊮.png
110,/home/jovyan/word/png_aa/鰕.png,/home/jovyan/word/png_geneto/鰕.png
111,/home/jovyan/word/png_aa/唎.png,/home/jovyan/word/png_geneto/唎.png
112,/home/jovyan/word/png_aa/啊.png,/home/jovyan/word/png_geneto/啊.png
113,/home/jovyan/word/png_aa/禱.png,/home/jovyan/word/png_geneto/禱.png
114,/home/jovyan/word/png_aa/挘.png,/home/jovyan/word/png_geneto/挘.png
115,/home/jovyan/word/png_aa/鵙.png,/home/jovyan/word/png_geneto/鵙.png
116,/home/jovyan/word/png_aa/姒.png,/home/jovyan/word/png_geneto/姒.png
117,/home/jovyan/word/png_aa/穩.png,/home/jovyan/word/png_geneto/穩.png
118,/home/jovyan/word/png_aa/頏.png,/home/jovyan/word/png_geneto/頏.png
119,/home/jovyan/word/png_aa/譃.png,/home/jovyan/word/png_geneto/譃.png
120,/home/jovyan/word/png_aa/訷.png,/home/jovyan/word/png_geneto/訷.png
121,/home/jovyan/word/png_aa/蚧.png,/home/jovyan/word/png_geneto/蚧.png
122,/home/jovyan/word/png_aa/婀.png,/home/jovyan/word/png_geneto/婀.png
123,/home/jovyan/word/png_aa/巘.png,/home/jovyan/word/png_geneto/巘.png
124,/home/jovyan/word/png_aa/篶.png,/home/jovyan/word/png_geneto/篶.png
125,/home/jovyan/word/png_aa/曈.png,/home/jovyan/word/png_geneto/曈.png
126,/home/jovyan/word/png_aa/鳧.png,/home/jovyan/word/png_geneto/鳧.png
127,/home/jovyan/word/png_aa/蠋.png,/home/jovyan/word/png_geneto/蠋.png
128,/home/jovyan/word/png_aa/續.png,/home/jovyan/word/png_geneto/續.png
129,/home/jovyan/word/png_aa/蹕.png,/home/jovyan/word/png_geneto/蹕.png
130,/home/jovyan/word/png_aa/觸.png,/home/jovyan/word/png_geneto/觸.png
131,/home/jovyan/word/png_aa/凩.png,/home/jovyan/word/png_geneto/凩.png
132,/home/jovyan/word/png_aa/濟.png,/home/jovyan/word/png_geneto/濟.png
133,/home/jovyan/word/png_aa/擱.png,/home/jovyan/word/png_geneto/擱.png
134,/home/jovyan/word/png_aa/觴.png,/home/jovyan/word/png_geneto/觴.png
135,/home/jovyan/word/png_aa/橔.png,/home/jovyan/word/png_geneto/橔.png
136,/home/jovyan/word/png_aa/鬃.png,/home/jovyan/word/png_geneto/鬃.png
137,/home/jovyan/word/png_aa/瘧.png,/home/jovyan/word/png_geneto/瘧.png
138,/home/jovyan/word/png_aa/嚊.png,/home/jovyan/word/png_geneto/嚊.png
139,/home/jovyan/word/png_aa/﨨.png,/home/jovyan/word/png_geneto/﨨.png
140,/home/jovyan/word/png_aa/庨.png,/home/jovyan/word/png_geneto/庨.png
141,/home/jovyan/word/png_aa/湂.png,/home/jovyan/word/png_geneto/湂.png
142,/home/jovyan/word/png_aa/湶.png,/home/jovyan/word/png_geneto/湶.png
143,/home/jovyan/word/png_aa/㊉.png,/home/jovyan/word/png_geneto/㊉.png
144,/home/jovyan/word/png_aa/廰.png,/home/jovyan/word/png_geneto/廰.png
145,/home/jovyan/word/png_aa/陘.png,/home/jovyan/word/png_geneto/陘.png
146,/home/jovyan/word/png_aa/蜷.png,/home/jovyan/word/png_geneto/蜷.png
147,/home/jovyan/word/png_aa/繃.png,/home/jovyan/word/png_geneto/繃.png
148,/home/jovyan/word/png_aa/浞.png,/home/jovyan/word/png_geneto/浞.png
149,/home/jovyan/word/png_aa/喨.png,/home/jovyan/word/png_geneto/喨.png
150,/home/jovyan/word/png_aa/寘.png,/home/jovyan/word/png_geneto/寘.png
151,/home/jovyan/word/png_aa/駸.png,/home/jovyan/word/png_geneto/駸.png
152,/home/jovyan/word/png_aa/鏢.png,/home/jovyan/word/png_geneto/鏢.png
153,/home/jovyan/word/png_aa/工.png,/home/jovyan/word/png_geneto/工.png
154,/home/jovyan/word/png_aa/卐.png,/home/jovyan/word/png_geneto/卐.png
155,/home/jovyan/word/png_aa/歙.png,/home/jovyan/word/png_geneto/歙.png
156,/home/jovyan/word/png_aa/㍾.png,/home/jovyan/word/png_geneto/㍾.png
157,/home/jovyan/word/png_aa/耤.png,/home/jovyan/word/png_geneto/耤.png
158,/home/jovyan/word/png_aa/燖.png,/home/jovyan/word/png_geneto/燖.png
159,/home/jovyan/word/png_aa/凮.png,/home/jovyan/word/png_geneto/凮.png
160,/home/jovyan/word/png_aa/輗.png,/home/jovyan/word/png_geneto/輗.png
161,/home/jovyan/word/png_aa/鉑.png,/home/jovyan/word/png_geneto/鉑.png
162,/home/jovyan/word/png_aa/椦.png,/home/jovyan/word/png_geneto/椦.png
163,/home/jovyan/word/png_aa/溿.png,/home/jovyan/word/png_geneto/溿.png
164,/home/jovyan/word/png_aa/羔.png,/home/jovyan/word/png_geneto/羔.png
165,/home/jovyan/word/png_aa/瓧.png,/home/jovyan/word/png_geneto/瓧.png
166,/home/jovyan/word/png_aa/槊.png,/home/jovyan/word/png_geneto/槊.png
167,/home/jovyan/word/png_aa/嘈.png,/home/jovyan/word/png_geneto/嘈.png
168,/home/jovyan/word/png_aa/鬼.png,/home/jovyan/word/png_geneto/鬼.png
169,/home/jovyan/word/png_aa/米.png,/home/jovyan/word/png_geneto/米.png
170,/home/jovyan/word/png_aa/迴.png,/home/jovyan/word/png_geneto/迴.png
171,/home/jovyan/word/png_aa/鷸.png,/home/jovyan/word/png_geneto/鷸.png
172,/home/jovyan/word/png_aa/翥.png,/home/jovyan/word/png_geneto/翥.png
173,/home/jovyan/word/png_aa/增.png,/home/jovyan/word/png_geneto/增.png
174,/home/jovyan/word/png_aa/蒴.png,/home/jovyan/word/png_geneto/蒴.png
175,/home/jovyan/word/png_aa/戸.png,/home/jovyan/word/png_geneto/戸.png
176,/home/jovyan/word/png_aa/礰.png,/home/jovyan/word/png_geneto/礰.png
177,/home/jovyan/word/png_aa/髟.png,/home/jovyan/word/png_geneto/髟.png
178,/home/jovyan/word/png_aa/鈼.png,/home/jovyan/word/png_geneto/鈼.png
179,/home/jovyan/word/png_aa/軹.png,/home/jovyan/word/png_geneto/軹.png
180,/home/jovyan/word/png_aa/韙.png,/home/jovyan/word/png_geneto/韙.png
181,/home/jovyan/word/png_aa/焇.png,/home/jovyan/word/png_geneto/焇.png
182,/home/jovyan/word/png_aa/愰.png,/home/jovyan/word/png_geneto/愰.png
183,/home/jovyan/word/png_aa/錵.png,/home/jovyan/word/png_geneto/錵.png
184,/home/jovyan/word/png_aa/鴣.png,/home/jovyan/word/png_geneto/鴣.png
185,/home/jovyan/word/png_aa/倢.png,/home/jovyan/word/png_geneto/倢.png
186,/home/jovyan/word/png_aa/搐.png,/home/jovyan/word/png_geneto/搐.png
187,/home/jovyan/word/png_aa/儷.png,/home/jovyan/word/png_geneto/儷.png
188,/home/jovyan/word/png_aa/觖.png,/home/jovyan/word/png_geneto/觖.png
189,/home/jovyan/word/png_aa/蠁.png,/home/jovyan/word/png_geneto/蠁.png
190,/home/jovyan/word/png_aa/俓.png,/home/jovyan/word/png_geneto/俓.png
191,/home/jovyan/word/png_aa/僘.png,/home/jovyan/word/png_geneto/僘.png
192,/home/jovyan/word/png_aa/艋.png,/home/jovyan/word/png_geneto/艋.png
193,/home/jovyan/word/png_aa/籥.png,/home/jovyan/word/png_geneto/籥.png
194,/home/jovyan/word/png_aa/赭.png,/home/jovyan/word/png_geneto/赭.png
195,/home/jovyan/word/png_aa/鯽.png,/home/jovyan/word/png_geneto/鯽.png
196,/home/jovyan/word/png_aa/擡.png,/home/jovyan/word/png_geneto/擡.png
197,/home/jovyan/word/png_aa/龔.png,/home/jovyan/word/png_geneto/龔.png
198,/home/jovyan/word/png_aa/琨.png,/home/jovyan/word/png_geneto/琨.png
199,/home/jovyan/word/png_aa/小.png,/home/jovyan/word/png_geneto/小.png
200,/home/jovyan/word/png_aa/檃.png,/home/jovyan/word/png_geneto/檃.png
201,/home/jovyan/word/png_aa/漪.png,/home/jovyan/word/png_geneto/漪.png
